SAMPLE_ID	PATHOGENIC_BURDEN	BENIGN_BURDEN
HG00096	7	273
HG00097	2	251
HG00099	5	265
HG00100	4	249
HG00101	1	251
HG00102	7	280
HG00103	6	253
HG00105	4	250
HG00106	7	241
HG00107	2	277
HG00108	9	287
HG00109	4	276
HG00110	9	257
HG00111	7	249
HG00112	4	264
HG00113	5	230
HG00114	6	251
HG00115	6	276
HG00116	7	229
HG00117	5	249
HG00118	5	228
HG00119	2	252
HG00120	7	247
HG00121	8	279
HG00122	6	296
HG00123	5	271
HG00125	3	249
HG00126	1	270
HG00127	5	293
HG00128	5	284
HG00129	5	279
HG00130	3	254
HG00131	4	254
HG00132	3	267
HG00133	3	252
HG00136	7	263
HG00137	3	253
HG00138	7	267
HG00139	4	243
HG00140	3	256
HG00141	4	261
HG00142	5	288
HG00143	7	260
HG00145	4	222
HG00146	5	271
HG00148	6	282
HG00149	8	262
HG00150	4	273
HG00151	6	264
HG00154	5	291
HG00155	3	259
HG00157	2	251
HG00158	4	252
HG00159	7	265
HG00160	3	237
HG00171	3	261
HG00173	7	245
HG00174	7	248
HG00176	7	267
HG00177	6	244
HG00178	6	271
HG00179	6	256
HG00180	8	239
HG00181	1	296
HG00182	2	306
HG00183	6	240
HG00185	6	227
HG00186	7	276
HG00187	6	258
HG00188	3	235
HG00189	2	273
HG00190	3	284
HG00231	4	260
HG00232	6	276
HG00233	5	276
HG00234	4	272
HG00235	5	262
HG00236	2	272
HG00237	7	273
HG00238	6	272
HG00239	4	263
HG00240	6	272
HG00242	7	258
HG00243	3	213
HG00244	7	259
HG00245	5	252
HG00246	4	244
HG00250	5	282
HG00251	4	233
HG00252	4	251
HG00253	5	289
HG00254	4	232
HG00255	7	279
HG00256	8	257
HG00257	1	260
HG00258	2	263
HG00259	5	255
HG00260	6	279
HG00261	4	263
HG00262	8	275
HG00263	1	268
HG00264	2	257
HG00265	7	265
HG00266	8	280
HG00267	8	274
HG00268	2	232
HG00269	2	243
HG00271	5	261
HG00272	2	271
HG00273	6	226
HG00274	6	279
HG00275	3	244
HG00276	4	305
HG00277	5	258
HG00278	6	240
HG00280	3	272
HG00281	10	253
HG00282	3	279
HG00284	2	249
HG00285	7	293
HG00288	8	252
HG00290	5	259
HG00304	7	273
HG00306	5	276
HG00308	10	233
HG00309	9	275
HG00310	5	271
HG00311	7	265
HG00313	4	257
HG00315	6	252
HG00318	8	273
HG00319	3	243
HG00320	8	256
HG00321	6	264
HG00323	8	270
HG00324	5	258
HG00325	3	286
HG00326	8	264
HG00327	4	292
HG00328	6	267
HG00329	6	265
HG00330	6	246
HG00331	4	244
HG00332	8	257
HG00334	8	256
HG00335	6	242
HG00336	7	265
HG00337	6	286
HG00338	6	263
HG00339	7	256
HG00341	7	262
HG00342	2	237
HG00343	6	268
HG00344	4	284
HG00345	2	241
HG00346	5	238
HG00349	3	275
HG00350	5	257
HG00351	7	281
HG00353	2	294
HG00355	4	260
HG00356	6	292
HG00357	6	238
HG00358	4	277
HG00360	7	254
HG00361	3	269
HG00362	5	227
HG00364	3	263
HG00365	9	259
HG00366	5	259
HG00367	7	233
HG00368	10	257
HG00369	2	247
HG00371	5	251
HG00372	5	252
HG00373	5	256
HG00375	2	237
HG00376	4	255
HG00378	5	243
HG00379	4	261
HG00380	4	268
HG00381	3	252
HG00382	4	254
HG00383	4	275
HG00384	7	244
HG00403	7	273
HG00404	9	301
HG00405	9	269
HG00406	5	318
HG00407	7	275
HG00408	9	311
HG00409	5	287
HG00410	6	268
HG00418	9	264
HG00419	9	274
HG00420	7	280
HG00421	6	264
HG00422	6	282
HG00423	8	288
HG00427	10	282
HG00428	5	276
HG00429	10	285
HG00436	8	280
HG00437	7	278
HG00438	9	282
HG00442	9	259
HG00443	8	269
HG00444	8	257
HG00445	7	270
HG00446	8	289
HG00447	6	290
HG00448	4	241
HG00449	8	273
HG00450	6	269
HG00451	10	276
HG00452	8	266
HG00453	8	287
HG00457	10	276
HG00458	11	280
HG00459	13	296
HG00463	7	286
HG00464	6	295
HG00465	6	275
HG00472	7	260
HG00473	7	265
HG00474	7	280
HG00475	5	255
HG00476	8	260
HG00477	5	268
HG00478	4	288
HG00479	6	281
HG00480	5	287
HG00500	7	261
HG00501	5	290
HG00502	4	279
HG00512	5	293
HG00513	11	284
HG00514	9	275
HG00524	7	286
